DATE,MAX_TEMPERATURE_C
01012009,20
02012009,17
03012009,17
04012009,18
05012009,18
06012009,16
07012009,14
08012009,13
09012009,15
10012009,12
11012009,12
12012009,15
13012009,17
14012009,18
15012009,18
16012009,16
17012009,16
18012009,17
19012009,16
20012009,15
21012009,13
22012009,17
23012009,20
24012009,19
25012009,16
26012009,15
27012009,17
28012009,19
29012009,23
30012009,23
31012009,16
01022009,17
02022009,16
03022009,16
04022009,18
05022009,15
06022009,14
07022009,13
08022009,18
09022009,21
10022009,19
11022009,19
12022009,21
13022009,23
14022009,22
15022009,22
16022009,21
17022009,21
18022009,19
19022009,21
20022009,21
21022009,20
22022009,21
23022009,26
24022009,22
25022009,23
26022009,20
27022009,20
28022009,19
01032009,18
02032009,17
03032009,16
04032009,14
05032009,16
06032009,18
07032009,20
08032009,21
09032009,24
10032009,25
11032009,24
12032009,26
13032009,29
14032009,26
15032009,26
16032009,28
17032009,31
18032009,28
19032009,25
20032009,22
21032009,23
22032009,23
23032009,26
24032009,24
25032009,21
26032009,23
27032009,22
28032009,17
29032009,15
30032009,16
31032009,18
01042009,17
02042009,18
03042009,20
04042009,22
05042009,26
06042009,26
07042009,18
08042009,21
09042009,21
10042009,18
11042009,19
12042009,18
13042009,20
14042009,20
15042009,18
16042009,19
17042009,21
18042009,22
19042009,19
20042009,20
21042009,22
22042009,25
23042009,28
24042009,27
25042009,19
26042009,17
27042009,19
28042009,20
29042009,21
30042009,21
01052009,22
02052009,29
03052009,26
04052009,23
05052009,27
06052009,29
07052009,31
08052009,29
09052009,29
10052009,25
11052009,24
12052009,22
13052009,21
14052009,22
15052009,21
16052009,24
17052009,23
18052009,22
19052009,24
20052009,25
21052009,24
22052009,24
23052009,22
24052009,22
25052009,22
26052009,23
27052009,30
28052009,34
29052009,29
30052009,25
31052009,28
01062009,28
02062009,28
03062009,25
04062009,24
05062009,25
06062009,24
07062009,24
08062009,24
09062009,24
10062009,26
11062009,30
12062009,36
13062009,34
14062009,31
15062009,31
16062009,29
17062009,31
18062009,33
19062009,32
20062009,34
21062009,32
22062009,29
23062009,28
24062009,27
25062009,26
26062009,27
27062009,28
28062009,28
29062009,29
30062009,28
01072009,29
02072009,30
03072009,30
04072009,30
05072009,29
06072009,27
07072009,27
08072009,27
09072009,28
10072009,30
11072009,29
12072009,30
13072009,29
14072009,27
15072009,28
16072009,29
17072009,28
18072009,31
19072009,34
20072009,43
21072009,38
22072009,31
23072009,30
24072009,30
25072009,34
26072009,34
27072009,33
28072009,34
29072009,32
30072009,34
31072009,35
01082009,32
02082009,29
03082009,30
04082009,32
05082009,31
06082009,29
07082009,31
08082009,29
09082009,28
10082009,29
11082009,31
12082009,32
13082009,33
14082009,34
15082009,33
16082009,33
17082009,32
18082009,31
19082009,32
20082009,32
21082009,33
22082009,34
23082009,34
24082009,30
25082009,29
26082009,27
27082009,30
28082009,32
29082009,33
30082009,33
31082009,31
01092009,29
02092009,27
03092009,29
04092009,31
05092009,31
06092009,32
07092009,33
08092009,31
09092009,30
10092009,27
11092009,30
12092009,27
13092009,27
14092009,25
15092009,25
16092009,25
17092009,24
18092009,25
19092009,25
20092009,24
21092009,27
22092009,29
23092009,29
24092009,30
25092009,30
26092009,26
27092009,26
28092009,26
29092009,26
30092009,26
01102009,27
02102009,28
03102009,29
04102009,32
05102009,31
06102009,31
07102009,30
08102009,28
09102009,25
10102009,27
11102009,30
12102009,31
13102009,33
14102009,31
15102009,30
16102009,30
17102009,30
18102009,28
19102009,27
20102009,25
21102009,24
22102009,24
23102009,26
24102009,29
25102009,31
26102009,32
27102009,32
28102009,30
29102009,29
30102009,28
31102009,29
01112009,28
02112009,26
03112009,24
04112009,24
05112009,21
06112009,22
07112009,23
08112009,21
09112009,21
10112009,24
11112009,25
12112009,28
13112009,31
14112009,28
15112009,30
16112009,32
17112009,27
18112009,22
19112009,23
20112009,25
21112009,28
22112009,23
23112009,22
24112009,27
25112009,27
26112009,24
27112009,23
28112009,22
29112009,22
30112009,17
01122009,18
02122009,20
03122009,19
04122009,20
05122009,20
06122009,21
07122009,23
08122009,21
09122009,24
10122009,24
11122009,25
12122009,24
13122009,21
14122009,17
15122009,19
16122009,20
17122009,23
18122009,21
19122009,19
20122009,19
21122009,18
22122009,19
23122009,20
24122009,20
25122009,20
26122009,19
27122009,23
28122009,24
29122009,25
30122009,21
31122009,18
01012010,19
02012010,24
03012010,23
04012010,18
05012010,17
06012010,17
07012010,16
08012010,11
09012010,15
10012010,16
11012010,18
12012010,20
